Data	NOAA
2001-01-01	119
2001-01-02	143
2001-01-03	128
2001-01-04	180
2001-01-05	158
2001-01-06	172
2001-01-07	183
2001-01-08	167
2001-01-09	140
2001-01-10	139
2001-01-11	173
2001-01-12	173
2001-01-14	181
2001-01-17	71
2001-01-18	99
2001-01-19	134
2001-01-20	91
2001-01-21	108
2001-01-22	108
2001-01-23	178
2001-01-24	186
2001-01-25	163
2001-01-26	157
2001-01-27	134
2001-01-28	124
2001-01-29	142
2001-01-30	128
2001-01-31	130
2001-02-01	141
2001-02-02	109
2001-02-03	149
2001-02-04	164
2001-02-05	157
2001-02-06	161
2001-02-07	163
2001-02-08	168
2001-02-09	179
2001-02-10	172
2001-02-11	169
2001-02-12	106
2001-02-13	113
2001-02-14	99
2001-02-15	113
2001-02-16	133
2001-02-17	95
2001-02-18	143
2001-02-19	147
2001-02-20	119
2001-02-21	119
2001-02-22	135
2001-02-23	135
2001-02-24	99
2001-02-25	111
2001-02-26	91
2001-02-27	90
2001-02-28	88
2001-03-01	59
2001-03-02	77
2001-03-03	138
2001-03-04	157
2001-03-05	143
2001-03-06	131
2001-03-07	102
2001-03-08	98
2001-03-09	113
2001-03-10	131
2001-03-11	139
2001-03-12	174
2001-03-13	110
2001-03-14	159
2001-03-15	126
2001-03-16	86
2001-03-17	90
2001-03-18	91
2001-03-19	85
2001-03-20	98
2001-03-21	136
2001-03-22	129
2001-03-23	145
2001-03-24	204
2001-03-25	276
2001-03-26	339
2001-03-27	291
2001-03-28	352
2001-03-29	315
2001-03-30	349
2001-03-31	326
2001-04-01	320
2001-04-02	223
2001-04-03	228
2001-04-04	217
2001-04-05	214
2001-04-06	136
2001-04-07	153
2001-04-08	188
2001-04-09	185
2001-04-10	170
2001-04-11	178
2001-04-12	159
2001-04-13	138
2001-04-14	149
2001-04-15	100
2001-04-16	107
2001-04-17	89
2001-04-18	63
2001-04-19	85
2001-04-20	103
2001-04-21	156
2001-04-22	164
2001-04-23	140
2001-04-24	175
2001-04-25	182
2001-04-26	193
2001-04-27	181
2001-04-28	173
2001-04-29	161
2001-04-30	178
2001-05-01	152
2001-05-02	179
2001-05-03	157
2001-05-04	186
2001-05-05	151
2001-05-06	120
2001-05-07	103
2001-05-08	88
2001-05-09	98
2001-05-10	94
2001-05-11	96
2001-05-13	119
2001-05-14	149
2001-05-15	146
2001-05-16	125
2001-05-17	137
2001-05-18	109
2001-05-19	92
2001-05-20	99
2001-05-21	118
2001-05-22	159
2001-05-23	192
2001-05-24	171
2001-05-25	146
2001-05-26	167
2001-05-27	189
2001-05-28	190
2001-05-29	131
2001-05-30	105
2001-05-31	93
2001-06-01	120
2001-06-02	141
2001-06-03	143
2001-06-04	125
2001-06-05	160
2001-06-06	170
2001-06-07	163
2001-06-08	179
2001-06-09	250
2001-06-10	217
2001-06-11	249
2001-06-12	193
2001-06-13	221
2001-06-14	273
2001-06-15	264
2001-06-16	276
2001-06-17	289
2001-06-18	220
2001-06-19	222
2001-06-20	232
2001-06-21	212
2001-06-22	203
2001-06-23	228
2001-06-24	212
2001-06-25	220
2001-06-26	177
2001-06-27	185
2001-06-28	143
2001-06-29	98
2001-06-30	115
2001-07-01	108
2001-07-02	130
2001-07-03	132
2001-07-04	106
2001-07-05	101
2001-07-06	68
2001-07-07	77
2001-07-08	101
2001-07-09	109
2001-07-10	116
2001-07-11	115
2001-07-12	119
2001-07-13	146
2001-07-14	161
2001-07-15	142
2001-07-16	179
2001-07-17	191
2001-07-18	193
2001-07-19	180
2001-07-20	193
2001-07-21	153
2001-07-22	153
2001-07-23	143
2001-07-24	143
2001-07-25	96
2001-07-26	115
2001-07-27	96
2001-07-28	88
2001-07-30	64
2001-07-31	85
2001-08-01	108
2001-08-02	113
2001-08-03	140
2001-08-04	182
2001-08-05	214
2001-08-06	182
2001-08-07	177
2001-08-08	191
2001-08-09	157
2001-08-10	119
2001-08-11	151
2001-08-12	196
2001-08-13	141
2001-08-14	133
2001-08-15	155
2001-08-16	171
2001-08-17	158
2001-08-18	148
2001-08-19	142
2001-08-20	172
2001-08-21	169
2001-08-22	183
2001-08-23	194
2001-08-24	187
2001-08-25	132
2001-08-26	139
2001-08-27	182
2001-08-28	189
2001-08-29	136
2001-08-30	138
2001-08-31	142
2001-09-01	153
2001-09-02	141
2001-09-03	168
2001-09-04	168
2001-09-05	175
2001-09-06	204
2001-09-07	288
2001-09-08	281
2001-09-09	291
2001-09-11	180
2001-09-13	223
2001-09-14	216
2001-09-15	183
2001-09-16	169
2001-09-17	159
2001-09-18	215
2001-09-19	224
2001-09-20	276
2001-09-21	258
2001-09-22	293
2001-09-23	275
2001-09-24	315
2001-09-25	320
2001-09-26	278
2001-09-27	279
2001-09-28	234
2001-09-29	233
2001-09-30	230
2001-10-01	289
2001-10-03	196
2001-10-04	231
2001-10-05	160
2001-10-06	181
2001-10-07	154
2001-10-08	130
2001-10-10	133
2001-10-11	174
2001-10-12	179
2001-10-13	166
2001-10-14	178
2001-10-15	176
2001-10-16	168
2001-10-17	171
2001-10-18	182
2001-10-19	219
2001-10-20	230
2001-10-21	239
2001-10-22	207
2001-10-24	230
2001-10-25	225
2001-10-26	239
2001-10-27	225
2001-10-28	229
2001-10-29	224
2001-10-30	205
2001-10-31	212
2001-11-01	157
2001-11-02	164
2001-11-03	162
2001-11-04	186
2001-11-05	159
2001-11-06	189
2001-11-07	230
2001-11-08	216
2001-11-09	175
2001-11-10	258
2001-11-11	222
2001-11-12	252
2001-11-13	234
2001-11-14	222
2001-11-15	219
2001-11-16	200
2001-11-17	157
2001-11-18	181
2001-11-19	168
2001-11-20	160
2001-11-21	132
2001-11-22	143
2001-11-23	144
2001-11-24	124
2001-11-25	102
2001-11-26	122
2001-11-27	139
2001-11-28	180
2001-11-29	204
2001-11-30	158
2001-12-01	208
2001-12-02	271
2001-12-03	230
2001-12-04	214
2001-12-05	260
2001-12-06	226
2001-12-07	200
2001-12-08	218
2001-12-09	225
2001-12-10	224
2001-12-12	183
2001-12-13	212
2001-12-14	202
2001-12-15	198
2001-12-16	204
2001-12-17	215
2001-12-18	210
2001-12-19	158
2001-12-20	171
2001-12-21	215
2001-12-22	234
2001-12-23	220
2001-12-24	176
2001-12-25	246
2001-12-26	290
2001-12-27	268
2001-12-28	263
2001-12-29	222
2001-12-30	218
2001-12-31	209
