Data	MACK
2009-01-01	11
2009-01-02	11
2009-01-03	11
2009-01-04	11
2009-01-05	11
2009-01-06	11
2009-01-07	11
2009-01-08	11
2009-01-09	23
2009-01-10	37
2009-01-11	38
2009-01-13	11
2009-01-15	22
2009-01-16	22
2009-01-17	11
2009-01-18	11
2009-01-19	11
2009-01-21	11
2009-01-22	11
2009-01-23	11
2009-01-25	22
2009-01-27	11
2009-01-28	11
2009-01-29	11
2009-01-31	11
2009-02-02	11
2009-02-06	11
2009-02-09	11
2009-02-13	22
2009-02-14	22
2009-02-16	22
2009-02-17	33
2009-02-18	22
2009-02-19	22
2009-02-21	22
2009-02-22	22
2009-02-24	33
2009-02-25	34
2009-02-26	22
2009-02-27	33
2009-02-28	22
2009-03-01	22
2009-03-04	22
2009-03-05	22
2009-03-06	34
2009-03-07	22
2009-03-08	33
2009-03-09	22
2009-03-10	22
2009-03-11	22
2009-03-12	22
2009-03-13	22
2009-03-14	33
2009-03-15	22
2009-03-16	22
2009-03-17	22
2009-03-18	22
2009-03-19	22
2009-03-20	22
2009-03-21	33
2009-03-22	22
2009-03-23	33
2009-03-24	22
2009-03-25	33
2009-03-26	33
2009-03-27	33
2009-03-28	33
2009-03-29	22
2009-03-30	22
2009-03-31	22
2009-04-01	33
2009-04-03	33
2009-04-05	33
2009-04-06	33
2009-04-08	22
2009-04-10	22
2009-04-11	22
2009-04-13	22
2009-04-14	22
2009-04-15	22
2009-04-16	33
2009-04-17	22
2009-04-18	22
2009-04-19	33
2009-04-20	22
2009-04-21	22
2009-04-22	22
2009-04-23	33
2009-04-24	22
2009-04-25	22
2009-04-26	22
2009-04-27	22
2009-04-29	22
2009-05-01	33
2009-05-13	33
2009-05-15	33
2009-05-17	33
2009-05-18	22
2009-05-19	22
2009-05-20	22
2009-05-21	22
2009-05-22	33
2009-05-23	22
2009-05-24	33
2009-05-25	22
2009-05-26	33
2009-05-27	22
2009-05-28	22
2009-05-29	22
2009-05-30	22
2009-05-31	33
2009-06-01	52
2009-06-02	38
2009-06-03	38
2009-06-04	35
2009-06-05	22
2009-06-06	22
2009-06-07	44
2009-06-08	22
2009-06-09	22
2009-06-10	22
2009-06-11	33
2009-06-12	22
2009-06-13	22
2009-06-14	33
2009-06-15	33
2009-06-16	22
2009-06-17	22
2009-06-18	22
2009-06-21	22
2009-06-22	34
2009-06-26	44
2009-06-27	22
2009-06-28	33
2009-06-29	22
2009-06-30	33
2009-07-01	22
2009-07-02	22
2009-07-03	33
2009-07-04	50
2009-07-05	54
2009-07-06	40
2009-07-07	46
2009-07-08	48
2009-07-09	45
2009-07-10	33
2009-07-11	33
2009-07-14	22
2009-07-15	33
2009-07-16	22
2009-07-17	22
2009-07-18	22
2009-07-19	22
2009-07-20	44
2009-07-23	33
2009-07-24	22
2009-07-25	22
2009-07-27	33
2009-08-20	22
2009-08-22	33
2009-08-23	22
2009-08-24	22
2009-08-25	22
2009-08-27	22
2009-08-28	55
2009-08-29	22
2009-09-02	22
2009-09-03	22
2009-09-04	33
2009-09-05	22
2009-09-08	22
2009-09-11	33
2009-09-12	33
2009-09-13	22
2009-09-14	33
2009-09-15	33
2009-09-16	22
2009-09-18	22
2009-09-22	47
2009-09-23	47
2009-09-24	46
2009-09-25	56
2009-09-26	55
2009-09-27	33
2009-09-28	49
2009-09-29	55
2009-10-02	44
2009-10-03	22
2009-10-05	22
2009-10-06	22
2009-10-07	22
2009-10-08	22
2009-10-09	33
2009-10-10	22
2009-10-11	33
2009-10-12	22
2009-10-13	33
2009-10-14	22
2009-10-15	22
2009-10-16	33
2009-10-17	22
2009-10-19	22
2009-10-20	22
2009-10-21	44
2009-10-22	33
2009-10-23	55
2009-10-24	52
2009-10-25	63
2009-10-26	52
2009-10-27	40
2009-10-28	59
2009-10-29	37
2009-10-30	33
2009-10-31	66
2009-11-01	22
2009-11-07	22
2009-11-08	22
2009-11-09	45
2009-11-10	33
2009-11-11	22
2009-11-12	22
2009-11-13	22
2009-11-14	44
2009-11-15	22
2009-11-16	33
2009-11-17	33
2009-11-18	45
2009-11-19	60
2009-11-20	34
2009-11-21	35
2009-11-22	33
2009-11-23	33
2009-11-24	33
2009-11-25	22
2009-11-26	22
2009-11-27	22
2009-11-28	44
2009-11-29	22
2009-11-30	22
2009-12-02	22
2009-12-04	33
2009-12-05	33
2009-12-06	33
2009-12-07	22
2009-12-08	22
2009-12-10	33
2009-12-11	44
2009-12-12	55
2009-12-13	23
2009-12-17	52
2009-12-18	49
2009-12-19	58
2009-12-20	71
2009-12-21	48
2009-12-22	59
2009-12-23	45
2009-12-24	22
2009-12-25	44
2009-12-26	35
2009-12-27	35
2009-12-28	48










